Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Purchasing Power Index,Year,Continent
1,Bermuda,141.74,98.96,121.39,142.62,144.74,82.34,2022,North America
2,Switzerland,110.34,50.21,81.73,113.35,104.3,116.19,2022,Europe
3,Bahamas,88.27,38.41,64.55,71.92,94.29,44.22,2022,North America
4,Barbados,87.07,21.16,55.71,81.73,74.5,32.62,2022,North America
5,Iceland,86.59,35.81,62.43,82.44,88.64,82.62,2022,Europe
6,Norway,85.93,30.55,59.59,81.31,87.59,86.27,2022,Europe
7,Jersey,80.38,55.37,68.48,64.52,89.23,68.72,2022,Europe
8,Singapore,79.09,65.09,72.43,71.36,52.2,94.65,2022,Asia
9,Israel,77.28,32.95,56.19,66.45,83.92,73.54,2022,Asia
10,Hong Kong,76.55,67.99,72.48,82.51,53.23,66.93,2022,Asia
11,Denmark,73.09,29.18,52.21,59.94,81.12,99.76,2022,Europe
12,Australia,72.27,35.67,54.86,72.75,64.07,117.56,2022,Oceania
13,Luxembourg,72.15,47.95,60.64,67.3,73.74,96.13,2022,Europe
14,Guernsey,70.88,45.6,58.85,65.92,71.79,70.61,2022,Europe
15,United States of America,69.92,46.86,58.95,70.06,65.75,99.88,2022,North America
16,New Zealand,68.96,29.43,50.15,67.69,63.87,85.02,2022,Oceania
17,Canada,68.78,35.06,52.74,68.1,64.28,101.67,2022,North America
18,Lebanon,68.53,20.71,45.78,68.17,48.91,31.98,2022,Asia
19,Macao,68.39,36.63,53.28,73.6,48.7,72.82,2022,Asia
20,Netherlands,67.71,33.37,51.37,58.11,64.7,99.58,2022,Europe
21,South Korea,66.95,16.47,42.94,84.47,36.82,81.3,2022,Asia
22,Ireland,66.73,44.19,56,54.18,66.72,75.2,2022,Europe
23,France,65.55,24.88,46.2,63.17,63.58,79.61,2022,Europe
24,Puerto Rico,64.58,21.59,44.13,66.06,53.57,65.41,2022,North America
25,Austria,64.11,22.75,44.44,58.04,60.66,75.09,2022,Europe
26,Finland,63.75,21.89,43.83,56.42,63.59,91,2022,Europe
27,Belgium,62.8,21.46,43.14,53.17,65.92,86.27,2022,Europe
28,Japan,62.77,20.85,42.83,66.56,35.57,91.13,2022,Asia
29,Sweden,61.77,23.05,43.35,54.86,62.29,94.93,2022,Europe
30,Qatar,60.56,50.37,55.71,51.61,58.46,98.13,2022,Asia
31,United Kingdom,60.42,30.99,46.42,48.68,63.73,92.86,2022,Europe
32,Germany,59.62,25.98,43.62,48.63,52.44,102.75,2022,Europe
33,Uruguay,59.05,15,38.09,48.69,57.73,28.64,2022,South America
34,Italy,58.47,20.95,40.62,49.91,59.12,58,2022,Europe
35,United Arab Emirates,58.01,37.34,48.18,46.72,53.87,118.94,2022,Asia
36,Malta,57.71,24.68,41.99,50.77,58.76,44.8,2022,Europe
37,Taiwan,55.95,15.41,36.66,66.99,27.04,61.78,2022,Asia
38,Maldives,54.49,27.42,41.61,52.99,32.27,31.8,2022,Asia
39,Cuba,54.02,16.38,36.12,48.39,31.63,1.48,2022,North America
40,Bahrain,53.84,27.61,41.36,43.46,47.34,60.36,2022,Asia
41,Trinidad And Tobago,53.38,14.14,34.71,52.79,50.59,37.35,2022,North America
42,Cyprus,52.48,23.37,38.63,43.18,52.62,54.47,2022,Europe
43,Jamaica,50.75,14.82,33.66,52.61,35.51,26.25,2022,North America
44,Saudi Arabia,50.35,11.29,31.77,42.47,36.67,93.26,2022,Asia
45,Palestine,50.25,9.51,30.87,44.14,37.6,38.81,2022,Asia
46,Greece,50.23,12.4,32.23,39.29,46.17,38.39,2022,Europe
47,Belize,49.55,11.87,31.62,46.24,32.35,41.6,2022,North America
48,Estonia,49.47,14.73,32.94,39.65,47.84,60.41,2022,Europe
49,Panama,48.25,19.51,34.58,47.28,40.15,32.66,2022,North America
50,Oman,48.11,15.39,32.54,45.13,39.78,78.78,2022,Asia
51,Russia,48.07,15.96,32.8,41.19,44.2,42.22,2022,Europe
52,Jordan,47.53,8.92,29.16,39.89,39.37,32.23,2022,Asia
53,Spain,47.51,21.4,35.09,39.45,47.54,77.29,2022,Europe
54,Slovenia,47.3,15.32,32.09,42.06,39.38,57.95,2022,Europe
55,Guyana,46.87,8.44,28.58,50.31,37.08,19.73,2022,South America
56,Kuwait,46,27.68,37.28,33.26,41.99,81.76,2022,Asia
57,Cambodia,45.73,13.97,30.62,46,20.64,13.96,2022,Asia
58,Latvia,45.21,10.02,28.47,35.94,37.89,49.84,2022,Europe
60,Croatia,43.74,11.63,28.47,37.29,36.47,52.79,2022,Europe
61,Costa Rica,43.65,13.31,29.21,42.4,36.29,38.59,2022,North America
62,Brunei,43.37,18.31,31.45,46.37,27.92,87.28,2022,Asia
63,Lithuania,43.1,15.31,29.88,35.36,39.19,55.67,2022,Europe
64,El Salvador,42.94,13.15,28.77,43.23,32.35,20.48,2022,North America
65,Zimbabwe,42.54,9.71,26.92,37.68,34.27,17.34,2022,Africa
66,Portugal,42.18,20.7,31.96,33.8,34.88,47.89,2022,Europe
67,Dominican Republic,41.97,10.29,26.9,38.05,34.35,21.62,2022,North America
68,Venezuela,41.77,8.07,25.74,36.08,42.92,12.72,2022,South America
69,Ethiopia,41.74,17.43,30.18,34.96,19.49,11.02,2022,Africa
70,Guatemala,41.34,14.93,28.77,40.56,29.05,26.88,2022,North America
71,Slovakia,41.03,13.79,28.07,38.25,30.59,53.84,2022,Europe
72,Mauritius,40.68,9.81,26,41.08,30.72,29.27,2022,Africa
73,China,40.31,22.13,31.66,42.89,29.01,56.24,2022,Asia
74,Fiji,39.37,15.1,27.83,44.1,32.22,38.72,2022,Oceania
75,Armenia,38.96,17.55,28.77,33.94,32.17,26.04,2022,Asia
76,Honduras,38.91,9.11,24.73,33.78,26.18,31.41,2022,North America
77,Thailand,38.62,12.54,26.21,40.5,19.81,30.82,2022,Asia
79,South Africa,37.94,14.76,26.91,31.09,35.01,77.84,2022,Africa
80,Bulgaria,37.58,9.57,24.26,33.51,31.81,46.9,2022,Europe
81,Nicaragua,37.17,8.17,23.37,35.71,25.12,19.61,2022,North America
82,Chile,37.16,11.41,24.91,34.1,33.68,35.79,2022,South America
83,Botswana,36.52,8.33,23.11,32.46,37.38,59.92,2022,Africa
84,Iran,36.49,16.41,26.94,28.03,25.36,18.03,2022,Asia
85,Ecuador,35.73,9.73,23.36,32.95,25.81,33.55,2022,South America
86,Namibia,35.59,11.56,24.16,32.98,37.44,50.99,2022,Africa
87,Vietnam,35.59,11.73,24.24,36.37,18.24,28.18,2022,Asia
88,Mexico,35.14,12.05,24.15,34.85,31.94,41.1,2022,North America
89,Poland,35.06,14.15,25.12,28.39,31.4,60.65,2022,Europe
90,Romania,34.93,9.98,23.06,30.54,29.74,48.84,2022,Europe
91,Georgia,34.85,15.45,25.62,30.42,32.14,25.13,2022,Asia
92,Brazil,34.81,8.46,22.28,29.99,25.58,27.28,2022,South America
93,Montenegro,34.74,11.05,23.47,29.19,27.5,37.23,2022,Europe
94,Hungary,34.64,11.13,23.46,30.85,28.23,53.24,2022,Europe
95,Malaysia,34.41,9.73,22.67,37.1,19.85,59.41,2022,Asia
96,Mongolia,33.69,9.1,21.99,34.51,26.39,23.62,2022,Asia
97,Philippines,33.62,10.34,22.55,33.61,20.08,20.06,2022,Asia
98,Albania,33.6,8.22,21.53,27.65,22.94,28.65,2022,Europe
99,Kenya,33.36,7.49,21.05,31.39,28.15,32.19,2022,Africa
100,Serbia,33.35,7.54,21.07,26.79,27.18,41.56,2022,Europe
