Country,Happiness Index,Rank,Year,,
Switzerland,7.59,1,2015,,
Iceland,7.56,2,2015,,
Denmark,7.53,3,2015,,
Norway,7.52,4,2015,,
Canada,7.43,5,2015,,
Finland,7.41,6,2015,,
Netherlands,7.38,7,2015,,
Sweden,7.36,8,2015,,
New Zealand,7.29,9,2015,,
Australia,7.28,10,2015,,
Israel,7.28,11,2015,,
Costa Rica,7.23,12,2015,,
Austria,7.2,13,2015,,
Mexico,7.19,14,2015,,
USA,7.12,15,2015,,
Brazil,6.98,16,2015,,
Luxembourg,6.95,17,2015,,
Belgium,6.94,18,2015,,
Ireland,6.94,19,2015,,
UA Emirates,6.9,20,2015,,
Denmark,7.53,1,2016,,
Switzerland,7.51,2,2016,,
Iceland,7.5,3,2016,,
Norway,7.5,4,2016,,
Finland,7.41,5,2016,,
Canada,7.4,6,2016,,
Netherlands,7.34,7,2016,,
New Zealand,7.33,8,2016,,
Australia,7.31,9,2016,,
Sweden,7.29,10,2016,,
Israel,7.27,11,2016,,
Austria,7.12,12,2016,,
USA,7.1,13,2016,,
Costa Rica,7.09,14,2016,,
Puerto Rico,7.04,15,2016,,
Germany,6.99,16,2016,,
Brazil,6.95,17,2016,,
Belgium,6.93,18,2016,,
Ireland,6.91,19,2016,,
Luxembourg,6.87,20,2016,,
Norway,7.54,1,2017,,
Denmark,7.52,2,2017,,
Iceland,7.5,3,2017,,
Switzerland,7.49,4,2017,,
Finland,7.47,5,2017,,
Netherlands,7.38,6,2017,,
Canada,7.32,7,2017,,
New Zealand,7.31,8,2017,,
Australia,7.28,9,2017,,
Sweden,7.28,10,2017,,
Israel,7.21,11,2017,,
Costa Rica,7.08,12,2017,,
Austria,7.01,13,2017,,
USA,6.99,14,2017,,
Ireland,6.98,15,2017,,
Germany,6.95,16,2017,,
Belgium,6.89,17,2017,,
Luxembourg,6.86,18,2017,,
UK,6.71,19,2017,,
Chile,6.65,20,2017,,
Finland,7.63,1,2018,,
Norway,7.59,2,2018,,
Denmark,7.56,3,2018,,
Iceland,7.5,4,2018,,
Switzerland,7.49,5,2018,,
Netherlands,7.44,6,2018,,
Canada,7.33,7,2018,,
New Zealand,7.32,8,2018,,
Sweden,7.31,9,2018,,
Australia,7.27,10,2018,,
Israel,7.19,11,2018,,
Austria,7.14,12,2018,,
Costa Rica,7.07,13,2018,,
Ireland,6.98,14,2018,,
Germany,6.97,15,2018,,
Belgium,6.93,16,2018,,
Luxembourg,6.91,17,2018,,
USA,6.89,18,2018,,
UK,6.81,19,2018,,
UA Emirates,6.77,20,2018,,
Finland,7.77,1,2019,,
Denmark,7.6,2,2019,,
Norway,7.55,3,2019,,
Iceland,7.49,4,2019,,
Netherlands,7.49,5,2019,,
Switzerland,7.48,6,2019,,
Sweden,7.34,7,2019,,
New Zealand,7.31,8,2019,,
Canada,7.28,9,2019,,
Austria,7.25,10,2019,,
Australia,7.23,11,2019,,
Costa Rica,7.17,12,2019,,
Israel,7.14,13,2019,,
Luxembourg,7.09,14,2019,,
UK,7.05,15,2019,,
Ireland,7.02,16,2019,,
Germany,6.99,17,2019,,
Belgium,6.92,18,2019,,
USA,6.89,19,2019,,
Czechia,6.85,20,2019,,
Finland,7.84,1,2020,,
Denmark,7.62,2,2020,,
Switzerland,7.57,3,2020,,
Iceland,7.55,4,2020,,
Netherlands,7.46,5,2020,,
Norway,7.39,6,2020,,
Sweden,7.36,7,2020,,
Luxembourg,7.32,8,2020,,
New Zealand,7.28,9,2020,,
Austria,7.27,10,2020,,
Australia,7.18,11,2020,,
Germany,7.16,12,2020,,
Israel,7.16,13,2020,,
Canada,7.1,14,2020,,
Ireland,7.09,15,2020,,
Costa Rica,7.07,16,2020,,
UK,7.06,17,2020,,
Czechia,6.97,18,2020,,
USA,6.95,19,2020,,
Belgium,6.83,20,2020,,
Finland,7.82,1,2021,,
Denmark,7.64,2,2021,,
Iceland,7.56,3,2021,,
Switzerland,7.51,4,2021,,
Netherlands,7.41,5,2021,,
Luxembourg,7.4,6,2021,,
Sweden,7.38,7,2021,,
Norway,7.37,8,2021,,
Israel,7.36,9,2021,,
New Zealand,7.2,10,2021,,
Australia,7.16,11,2021,,
Austria,7.16,12,2021,,
Ireland,7.04,13,2021,,
Canada,7.03,14,2021,,
Germany,7.03,15,2021,,
USA,6.98,16,2021,,
UK,6.94,17,2021,,
Czechia,6.92,18,2021,,
Belgium,6.8,19,2021,,
France,6.69,20,2021,,
,,,,,
,,,,,
