Country,Year,Continent,Index Name,Rate
Switzerland,2022,Europe,Purchasing Power Index,116.19
Denmark,2022,Europe,Purchasing Power Index,99.76
Netherlands,2022,Europe,Purchasing Power Index,99.58
Australia,2022,Oceania,Purchasing Power Index,117.56
Finland,2022,Europe,Purchasing Power Index,91
Iceland,2022,Europe,Purchasing Power Index,82.62
Norway,2022,Europe,Purchasing Power Index,86.27
Germany,2022,Europe,Purchasing Power Index,102.75
Austria,2022,Europe,Purchasing Power Index,75.09
New Zealand,2022,Oceania,Purchasing Power Index,85.02
United Arab Emirates,2022,Asia,Purchasing Power Index,118.94
Estonia,2022,Europe,Purchasing Power Index,60.41
Luxembourg,2022,Europe,Purchasing Power Index,96.13
Sweden,2022,Europe,Purchasing Power Index,94.93
Spain,2022,Europe,Purchasing Power Index,77.29
Japan,2022,Asia,Purchasing Power Index,91.13
Oman,2022,Asia,Purchasing Power Index,78.78
Slovenia,2022,Europe,Purchasing Power Index,57.95
United States of America,2022,Americas,Purchasing Power Index,99.88
United Kingdom,2022,Europe,Purchasing Power Index,92.86
Czech Republic,2022,Europe,Purchasing Power Index,69.94
Canada,2022,Americas,Purchasing Power Index,101.67
Lithuania,2022,Europe,Purchasing Power Index,55.67
Croatia,2022,Europe,Purchasing Power Index,52.79
Portugal,2022,Europe,Purchasing Power Index,47.89
Belgium,2022,Europe,Purchasing Power Index,86.27
Qatar,2022,Asia,Purchasing Power Index,98.13
Singapore,2022,Asia,Purchasing Power Index,94.65
France,2022,Europe,Purchasing Power Index,79.61
Latvia,2022,Europe,Purchasing Power Index,49.84
Ireland,2022,Europe,Purchasing Power Index,75.2
Slovakia,2022,Europe,Purchasing Power Index,53.84
Saudi Arabia,2022,Asia,Purchasing Power Index,93.26
Cyprus,2022,Asia,Purchasing Power Index,54.47
Israel,2022,Asia,Purchasing Power Index,73.54
Taiwan,2022,Asia,Purchasing Power Index,61.78
Italy,2022,Europe,Purchasing Power Index,58
South Africa,2022,Africa,Purchasing Power Index,77.84
Hungary,2022,Europe,Purchasing Power Index,53.24
Poland,2022,Europe,Purchasing Power Index,60.65
Puerto Rico,2022,Americas,Purchasing Power Index,65.41
Romania,2022,Europe,Purchasing Power Index,48.84
South Korea,2022,Asia,Purchasing Power Index,81.3
Bosnia And Herzegovina,2022,Europe,Purchasing Power Index,46.51
Bulgaria,2022,Europe,Purchasing Power Index,46.9
Greece,2022,Europe,Purchasing Power Index,38.39
Mexico,2022,Americas,Purchasing Power Index,41.1
India,2022,Asia,Purchasing Power Index,76.44
Costa Rica,2022,Americas,Purchasing Power Index,38.59
Uruguay,2022,Americas,Purchasing Power Index,28.64
Malaysia,2022,Asia,Purchasing Power Index,59.41
Serbia,2022,Europe,Purchasing Power Index,41.56
Ecuador,2022,Americas,Purchasing Power Index,33.55
Turkey,2022,Asia,Purchasing Power Index,28.04
Georgia,2022,Asia,Purchasing Power Index,25.13
Kuwait,2022,Asia,Purchasing Power Index,81.76
Tunisia,2022,Africa,Purchasing Power Index,28.62
Panama,2022,Americas,Purchasing Power Index,32.66
Jordan,2022,Asia,Purchasing Power Index,32.23
Ukraine,2022,Europe,Purchasing Power Index,36.29
Argentina,2022,Americas,Purchasing Power Index,33.64
North Macedonia,2022,Europe,Purchasing Power Index,35.57
Belarus,2022,Europe,Purchasing Power Index,32.31
Azerbaijan,2022,Asia,Purchasing Power Index,29.36
Morocco,2022,Africa,Purchasing Power Index,32.67
Malta,2022,Europe,Purchasing Power Index,44.8
Brazil,2022,Americas,Purchasing Power Index,27.28
Hong Kong,2022,Asia,Purchasing Power Index,66.93
Russian Federation,2022,Europe,Purchasing Power Index,42.22
Pakistan,2022,Asia,Purchasing Power Index,24.45
Colombia,2022,Americas,Purchasing Power Index,28.27
Chile,2022,Americas,Purchasing Power Index,35.79
Thailand,2022,Asia,Purchasing Power Index,30.82
Lebanon,2022,Asia,Purchasing Power Index,31.98
Indonesia,2022,Asia,Purchasing Power Index,25.52
Kazakhstan,2022,Asia,Purchasing Power Index,35.23
China,2022,Asia,Purchasing Power Index,56.24
Egypt,2022,Africa,Purchasing Power Index,21.72
Kenya,2022,Africa,Purchasing Power Index,32.19
Vietnam,2022,Asia,Purchasing Power Index,28.18
Philippines,2022,Asia,Purchasing Power Index,20.06
Peru,2022,Americas,Purchasing Power Index,28.52
Venezuela,2022,Americas,Purchasing Power Index,12.72
Iran,2022,Asia,Purchasing Power Index,18.03
Sri Lanka,2022,Asia,Purchasing Power Index,15.28
Bangladesh,2022,Asia,Purchasing Power Index,25.34
Nigeria,2022,Africa,Purchasing Power Index,8.25
Switzerland,2021,Europe,Purchasing Power Index,110.96
Denmark,2021,Europe,Purchasing Power Index,94.73
Netherlands,2021,Europe,Purchasing Power Index,83.89
Finland,2021,Europe,Purchasing Power Index,89.05
Austria,2021,Europe,Purchasing Power Index,78.23
Australia,2021,Oceania,Purchasing Power Index,99.29
Iceland,2021,Europe,Purchasing Power Index,71.88
Germany,2021,Europe,Purchasing Power Index,93.72
New Zealand,2021,Oceania,Purchasing Power Index,81.44
Norway,2021,Europe,Purchasing Power Index,79.43
Estonia,2021,Europe,Purchasing Power Index,61.22
Oman,2021,Asia,Purchasing Power Index,84.45
Sweden,2021,Europe,Purchasing Power Index,90.55
Slovenia,2021,Europe,Purchasing Power Index,56.14
United States of America,2021,Americas,Purchasing Power Index,102.58
Spain,2021,Europe,Purchasing Power Index,62.68
Japan,2021,Asia,Purchasing Power Index,76.53
Portugal,2021,Europe,Purchasing Power Index,44.96
Lithuania,2021,Europe,Purchasing Power Index,54.6
Canada,2021,Americas,Purchasing Power Index,82.76
United Kingdom,2021,Europe,Purchasing Power Index,82.56
Czech Republic,2021,Europe,Purchasing Power Index,56.4
Croatia,2021,Europe,Purchasing Power Index,43.13
United Arab Emirates,2021,Asia,Purchasing Power Index,85.74
Qatar,2021,Asia,Purchasing Power Index,93.12
Belgium,2021,Europe,Purchasing Power Index,76.54
Ireland,2021,Europe,Purchasing Power Index,73.84
France,2021,Europe,Purchasing Power Index,74.06
Slovakia,2021,Europe,Purchasing Power Index,50.39
Latvia,2021,Europe,Purchasing Power Index,45.94
Saudi Arabia,2021,Asia,Purchasing Power Index,88.18
Israel,2021,Asia,Purchasing Power Index,70.36
Cyprus,2021,Asia,Purchasing Power Index,52.34
Singapore,2021,Asia,Purchasing Power Index,83.62
Taiwan,2021,Asia,Purchasing Power Index,56.08
Italy,2021,Europe,Purchasing Power Index,58.7
Hungary,2021,Europe,Purchasing Power Index,49.81
Poland,2021,Europe,Purchasing Power Index,47.09
South Africa,2021,Africa,Purchasing Power Index,72.92
Romania,2021,Europe,Purchasing Power Index,45.19
